Timestamp,Name (First and Last),Gender,Are you OK with opening shifts?,Are you OK with closing shifts?,Monday,Tuesday,Wednesday,Thursday,Friday,Select days you prefer to table on (if applicable),Screenshot of your calendar
02/04/2026 12:00:00,Alex,Male,Yes,Yes,10:30-11:30,"11:30-12:30, 12:30-1:30, 1:30-2:30",10:30-11:30,"11:30-12:30, 1:30-2:30","12:30-1:30, 1:30-2:30","Monday, Wednesday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Jordan,Female,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30",,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30","10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30","10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30",,https://drive.google.com/placeholder
02/04/2026 12:00:00,Casey,Male,Yes,Yes,"10:30-11:30, 11:30-12:30, 1:30-2:30",,"10:30-11:30, 11:30-12:30, 1:30-2:30","10:30-11:30, 11:30-12:30, 1:30-2:30",,,https://drive.google.com/placeholder
02/04/2026 12:00:00,Taylor,Male,Yes,Yes,"10:30-11:30, 12:30-1:30, 1:30-2:30","10:30-11:30, 12:30-1:30, 1:30-2:30","10:30-11:30, 12:30-1:30, 1:30-2:30","10:30-11:30, 12:30-1:30","10:30-11:30, 12:30-1:30, 1:30-2:30","Tuesday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Morgan,Male,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30","11:30-12:30, 12:30-1:30",,,,,https://drive.google.com/placeholder
02/04/2026 12:00:00,Riley,Female,No,No,10:30-11:30,10:30-11:30,10:30-11:30,10:30-11:30,"10:30-11:30, 12:30-1:30, 1:30-2:30","Friday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Jamie,Female,Yes,Yes,"10:30-11:30, 12:30-1:30, 1:30-2:30","11:30-12:30, 12:30-1:30","10:30-11:30, 12:30-1:30, 1:30-2:30","10:30-11:30, 1:30-2:30","10:30-11:30, 12:30-1:30, 1:30-2:30","Monday, Wednesday, Friday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Avery,Female,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30","11:30-12:30, 12:30-1:30",10:30-11:30,"11:30-12:30, 12:30-1:30","11:30-12:30, 12:30-1:30",,https://drive.google.com/placeholder
02/04/2026 12:00:00,Cameron,Male,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30",10:30-11:30,"10:30-11:30, 11:30-12:30",10:30-11:30,"10:30-11:30, 12:30-1:30","Thursday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Reese,Female,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30",,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30",,10:30-11:30,,https://drive.google.com/placeholder
02/04/2026 12:00:00,Quinn,Male,Yes,Yes,"10:30-11:30, 11:30-12:30",,"10:30-11:30, 11:30-12:30",,10:30-11:30,"Friday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Peyton,Male,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30, 1:30-2:30",10:30-11:30,"10:30-11:30, 11:30-12:30, 12:30-1:30","10:30-11:30, 11:30-12:30, 12:30-1:30","10:30-11:30, 11:30-12:30, 12:30-1:30","Wednesday",https://drive.google.com/placeholder
02/04/2026 12:00:00,Skyler,Female,Yes,Yes,"10:30-11:30, 11:30-12:30, 12:30-1:30",,,"11:30-12:30, 12:30-1:30",12:30-1:30,,https://drive.google.com/placeholder
02/04/2026 12:00:00,Dakota,Female,Yes,Yes,"10:30-11:30, 11:30-12:30",10:30-11:30,"10:30-11:30, 11:30-12:30","10:30-11:30, 11:30-12:30",,"Tuesday",https://drive.google.com/placeholder
